PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
43;47;1;27;43047001_27_M;2014;12;;N;;N;;N;0.14;V;;N;;N;;N;;N;;N;0.24;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.36;V;;N;;N;;N;;N;;N;0.26;V;;N;;N;;N;0.44;V;;N
8;96;14;27;08096014_27_M;2014;12;;N;;N;0.18;V;;N;;N;;N;;N;;N;;N;;N;1.37;V;;N;;N;;N;;N;1.0;V;;N;;N;0.48;V;;N;;N;;N;;N;;N;;N;;N;1.23;V;;N;;N;;N;0.82;V
8;102;5;27;08102005_27_M;2014;12;;N;;N;;N;;N;0.18;V;;N;;N;;N;;N;0.63;V;;N;;N;;N;;N;;N;0.24;V;;N;;N;;N;;N;;N;;N;0.29;V;;N;;N;;N;;N;;N;0.55;V;;N;;N
25;120;1;27;25120001_27_M;2014;12;;N;;N;;N;0.5;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;1.67;V;;N;0.69;V;;N;;N;;N;;N;;N;;N;;N;0.14;V;;N;;N;;N;;N;;N;1.11;V;;N
8;112;3;27;08112003_27_M;2014;12;;N;;N;;N;0.54;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;5.56;V;;N;0.84;V;;N;;N;;N;;N;;N;2.92;V;;N;;N;;N;2.64;V;;N;;N;;N;;N;;N
8;125;12;27;08125012_27_M;2014;12;;N;;N;;N;;N;0.73;V;;N;;N;;N;;N;1.22;V;;N;;N;;N;;N;;N;1.2;V;;N;;N;;N;;N;;N;;N;2.13;V;;N;;N;;N;;N;;N;;N;;N;2.25;V
8;202;1;27;08202001_27_M;2014;12;0.25;V;;N;;N;;N;;N;;N;;N;;N;0.67;V;;N;;N;;N;;N;;N;;N;;N;1.63;V;;N;;N;;N;;N;1.34;V;;N;;N;;N;;N;;N;;N;1.25;V;1.09;V;;N
43;44;3;27;43044003_27_M;2014;12;;N;;N;;N;0.14;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V;0.14;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.14;V;;N;;N;;N;0.14;V;;N;;N
8;282;1;27;08282001_27_M;2014;12;;N;0.21;V;;N;;N;;N;;N;;N;;N;;N;0.19;V;;N;;N;;N;;N;;N;0.2;V;;N;;N;;N;;N;;N;;N;;N;0.44;V;;N;;N;;N;;N;;N;;N;0.35;V
8;307;6;27;08307006_27_M;2014;12;;N;;N;;N;0.06;V;;N;;N;;N;;N;;N;;N;;N;;N;0.43;V;;N;;N;0.18;V;;N;;N;;N;;N;;N;;N;;N;0.26;V;;N;;N;;N;;N;;N;;N;0.79;V
